image_path;A1;A2;A3;A4;A5
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/103. Parang Gendreh Seling Parang Gapit klitik_1.JPG;The image shows a close-up view of batik cloth with intricate patterns. The design features abstract shapes and motifs in a repetitive pattern.;The shapes in the motif include elongated, organic forms that resemble leaves or petals, arranged in a grid-like structure.;The colors used in the image are primarily brown, beige, and white.;The motif on the image is a detailed, repetitive pattern of abstract, leaf-like shapes in a batik fabric.;"""Create a digital artwork featuring a complex, repetitive pattern of elongated, organic shapes resembling leaves or petals, set against a background of brown and beige tones."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/103. Parang Gendreh Seling Parang Gapit klitik_2.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features abstract shapes and motifs, primarily in shades of brown and beige.;The shapes in the motif include elongated, irregularly shaped forms that resemble leaves or organic shapes, along with smaller circular and square patterns.;Brown, beige, and white;A detailed batik cloth with abstract leaf-like shapes and geometric patterns in earthy tones.;"""Create a digital artwork inspired by traditional batik patterns, featuring elongated organic shapes and geometric elements in a warm brown and beige color palette."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/104. Parang Tuding_1.JPG;The image shows a piece of batik cloth with a complex geometric pattern. The design features various shapes and objects, including squares, triangles, circles, and lines, arranged in a repetitive manner.;The shapes and objects on the motif include squares, triangles, circles, and lines.;The colors used in the image are black, brown, white, and orange.;The motif on the image is a detailed geometric pattern with a mix of squares, triangles, circles, and lines in black, brown, white, and orange.;Create a digital artwork featuring a complex geometric pattern with a mix of squares, triangles, circles, and lines in black, brown, white, and orange, inspired by traditional batik designs.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/104. Parang Tuding_2.JPG;The image shows a piece of batik cloth with a complex geometric pattern. The design features interconnected lines, squares, circles, and various shapes in shades of brown and black.;The motif includes interconnected lines, squares, circles, and various abstract shapes.;Brown, black;A detailed batik cloth featuring intricate geometric patterns in brown and black.;Create a digital artwork depicting a dense, interwoven network of lines, squares, and circles in shades of brown and black, reminiscent of traditional batik designs.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/105. Gandasuli_1.JPG;The image depicts a piece of batik cloth featuring intricate patterns with various shapes and objects.;The motif includes abstract shapes resembling leaves or feathers, small circles, and lines forming a complex, organic design.;The colors used in the image are black, orange, white, and red.;The motif on the image is a detailed, abstract pattern with organic shapes and circular elements.;Create a digital artwork using Adobe Photoshop or Illustrator, starting with a black background. Use a brush tool to draw abstract, leaf-like shapes in orange. Add small white circles and red dots around the shapes. Continue adding more details and layers until the pattern becomes complex and intricate.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/105. Gandasuli_2.JPG;The image shows a piece of batik cloth with intricate patterns. The design features stylized, abstract shapes and motifs, including swirling lines, circular patterns, and geometric forms. The colors are primarily dark brown and orange, with white accents.;"The shapes and objects in the motif include: Swirling lines, Circular patterns, Geometric shapes, Abstract forms";The colors used in the image are dark brown, orange, and white.;The motif on the image is an intricate, abstract pattern with swirling lines and circular designs, featuring a mix of dark brown and orange hues with white accents.;"""Create an image of a batik cloth with dark brown background, orange and white abstract patterns, including swirling lines and circular motifs."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/106. Parang Templek Latar Ireng_1.JPG;The image shows a piece of batik cloth with a complex geometric pattern. The design features interlocking shapes and lines, creating a visually striking and intricate design.;The shape and objects in the motif include interlocking triangles, zigzag lines, and diamond shapes. These elements are arranged in a repetitive pattern throughout the fabric.;The colors used in the image are brown, black, and white.;The motif on the image is a complex geometric pattern featuring interlocking shapes and lines in brown, black, and white.;"""Create a piece of batik cloth with a detailed geometric pattern consisting of interlocking triangles, zigzag lines, and diamond shapes in shades of brown, black, and white."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/106. Parang Templek Latar Ireng_2.JPG;The image shows a piece of batik cloth with intricate patterns. The design features geometric shapes and abstract forms, predominantly in shades of brown and black.;The motif includes various geometric shapes such as triangles, squares, and zigzag lines, arranged in a repetitive pattern.;Brown, black, white;A detailed batik cloth with geometric and abstract designs in brown and black.;"""Create a piece of batik cloth featuring intricate geometric patterns in shades of brown and black, with white accents outlining the shapes."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/107. Parang Kapri_1.JPG;The image shows a piece of batik cloth with a complex and intricate pattern. The design features various shapes and objects, including geometric patterns, swirls, and possibly abstract figures or symbols.;The shapes and objects in the motif include geometric patterns, swirls, and possibly abstract figures or symbols.;The colors used in the image are primarily shades of red and brown.;The motif on the image is a detailed and colorful batik pattern featuring geometric and abstract designs.;Generate a digital artwork depicting a richly patterned batik fabric with a mix of geometric shapes, swirling lines, and abstract forms in deep red and earthy tones.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/107. Parang Kapri_2.JPG;The image depicts a piece of batik cloth with a complex and intricate pattern. The design features a repetitive motif consisting of interconnected shapes and lines, primarily in shades of red and brown.;The motif consists of interconnected shapes and lines, forming a network-like structure. There are also small, circular elements within the larger shapes.;Red, brown, white;A detailed batik cloth with a complex, interconnected pattern in red and brown hues.;Create a digital artwork featuring a dense, interwoven pattern of red and brown lines and shapes, with small white circular elements, reminiscent of traditional batik designs.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/108. Parang Sawut Seling Puspa_1.JPG;The image depicts a piece of batik cloth featuring intricate patterns and designs. The background is predominantly black with white and brown elements, including geometric shapes, floral motifs, and abstract forms.;"The shape and objects in the motif include: Geometric shapes (squares, circles), Floral motifs (flowers and leaves), Abstract forms (curves, swirls)";"The colors used in the image are: Black, White, Brown";The motif on the image is a detailed and colorful batik design with geometric and floral patterns.;"""Create a detailed batik cloth with black background, white and brown geometric shapes, floral motifs, and abstract forms."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/108. Parang Sawut Seling Puspa_2.JPG;The image depicts a piece of batik cloth featuring intricate patterns and designs. The main motif consists of stylized elephants with detailed trunks and tusks, surrounded by geometric shapes and floral elements.;"The shape and objects in the motif include: Elephants with detailed trunks and tusks. Geometric shapes such as squares and circles. Floral elements like flowers and leaves.";The colors used in the image are black, white, brown, and gold.;The motif on the image is a detailed and ornate batik design featuring elephants and geometric patterns.;"""Create a detailed batik cloth design featuring two elephants with intricate trunks and tusks, surrounded by geometric shapes and floral elements, using a combination of black, white, brown, and gold colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/109. Parang Tuding_1.JPG;The image shows a piece of batik cloth with intricate patterns. The design features abstract shapes and lines in various shades of brown and white, creating a complex and detailed pattern.;The shapes in the motif include squiggly lines, circles, and squares. These elements are interconnected to form a cohesive and visually appealing design.;Brown, white;A piece of batik cloth with a detailed and abstract design featuring brown and white shapes.;"""Create a piece of batik cloth with a complex and intricate design featuring squiggly lines, circles, and squares in shades of brown and white."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/109. Parang Tuding_2.JPG;The image shows a piece of batik cloth with intricate patterns. The background is dark, and the patterns consist of various shapes and objects, including circles, squares, and abstract forms.;The shapes and objects on the motif include circles, squares, and abstract forms.;The colors used in the image are brown, white, and black.;The motif features a complex arrangement of geometric shapes and abstract forms against a dark background.;Create a digital artwork featuring a dark background with intricate, abstract patterns composed of brown and white shapes, including circles and squares, using a batik-inspired design.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/11. Parang Klitik Kesit_1.JPG;The image shows a close-up view of batik cloth with intricate patterns. The design features a combination of straight lines, curves, and circular shapes, creating a visually complex and detailed pattern.;The shapes in the motif include straight lines, curved lines, and circular shapes. These elements are arranged in a repetitive manner to form the overall design.;The colors used in the image are primarily shades of brown and beige.;The motif on the image is a detailed and intricate batik pattern featuring a mix of straight, curved, and circular shapes.;"""Create a close-up image of batik cloth with a complex pattern consisting of straight lines, curved lines, and circular shapes, using shades of brown and beige."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/11. Parang Klitik Kesit_2.JPG;The image shows a close-up view of batik cloth with intricate patterns. The design features a repetitive pattern of curved lines and circular shapes, creating a visually appealing and textured appearance.;The shape and objects in the motif include curved lines and circular shapes.;The colors used in the image are brown and white.;The motif on the image is a detailed and repetitive pattern of curved lines and circles, typical of batik fabric.;"""Create a close-up image of batik cloth featuring intricate patterns of curved lines and circular shapes, using a combination of brown and white colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/111. Parang Barong Seling Parang Kusuma Sisik_1.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features repetitive shapes and motifs, primarily consisting of elongated, tubular forms with small, evenly spaced dots along their length.;The shape and objects in the motif include elongated, tubular forms with small, evenly spaced dots along their length. These shapes are arranged in a repetitive pattern, creating a visually striking and symmetrical design.;The colors used in the image are brown, white, and black.;The motif on the image is a detailed, repetitive pattern of elongated, tubular shapes with evenly spaced dots, rendered in brown, white, and black.;"""Create a piece of batik cloth featuring intricate, repetitive patterns of elongated, tubular shapes with evenly spaced dots, using a color palette of brown, white, and black."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/111. Parang Barong Seling Parang Kusuma Sisik_2.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features repetitive geometric shapes and abstract forms, primarily in shades of brown and beige, set against a dark background.;The motif includes various geometric shapes such as rectangles, circles, and irregular polygons, arranged in a repetitive pattern.;Brown, beige, black;A detailed batik cloth featuring repetitive geometric patterns in earthy tones.;"""Create a batik cloth with a repeating geometric pattern in shades of brown and beige, set against a dark background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/112. Gandasuli_1.JPG;The image shows a patterned batik cloth with a repetitive design featuring abstract shapes and motifs.;The motif consists of stylized, elongated, and curving forms that resemble leaves or feathers, arranged in a repeating zigzag pattern.;Brown, beige, black;A detailed and intricate batik pattern with abstract leaf-like shapes in brown and beige against a black background.;"""Create a batik fabric with a repeating zigzag pattern of stylized, elongated, and curving leaf-like shapes in brown and beige on a black background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/112. Gandasuli_2.JPG;The image shows a piece of batik cloth with a repeating pattern featuring stylized, abstract shapes. The background is dark brown or black, and the shapes are light beige or cream-colored with intricate details.;The shapes in the motif appear to be stylized, elongated, and somewhat organic in form, resembling leaves or feathers with swirling patterns.;Dark brown, light beige, cream;A detailed batik cloth pattern with light beige shapes against a dark brown background.;"""Create a digital artwork of a traditional batik cloth design featuring light beige, leaf-like shapes with swirling patterns against a dark brown background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/113. Parang Srimpi_1.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features repetitive geometric shapes, including circles and squares, outlined in brown against a white background.;The shape and objects in the motif include circles, squares, and rectangular patterns.;Brown, white;A detailed batik cloth with repetitive geometric patterns in brown and white.;"""Create a piece of batik cloth featuring intricate geometric patterns with brown outlines and white background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/113. Parang Srimpi_2.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features geometric shapes, including squares and circles, arranged in a repetitive manner.;The shapes in the motif include squares and circles.;The colors used in the image are brown and white.;The motif on the image is a detailed batik pattern with geometric shapes in brown and white.;"""Create a batik cloth design featuring repetitive geometric shapes like squares and circles, using a combination of brown and white colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/114. Parang Kapri_1.JPG;The image shows a piece of batik cloth with a repeating pattern of abstract shapes and lines. The background has a dark brown and red checkered pattern, while the main motif consists of light brown, wavy, and curvy lines forming various shapes.;The shapes in the motif include wavy lines, curls, and abstract forms that resemble stylized leaves or feathers.;Brown, red, black;A batik cloth with a complex, abstract pattern featuring wavy lines and curls against a checkered background.;"""Create a batik cloth design with a dark brown and red checkered background, featuring light brown, wavy, and curvy lines forming abstract shapes resembling stylized leaves or feathers."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/114. Parang Kapri_2.JPG;The image shows a patterned batik cloth with a repetitive design featuring abstract, stylized human figures. The figures are depicted in a simplified, cartoon-like style with exaggerated features, including large heads and elongated limbs.;The shapes and objects in the motif include simplified human figures with large heads, elongated limbs, and exaggerated features. The figures are depicted in a cartoon-like style with minimal detail.;Brown, beige, black;A batik cloth with a repetitive pattern of simplified, cartoon-like human figures in brown and beige against a brown background.;"""Create a batik cloth pattern featuring simplified, cartoon-like human figures with exaggerated features, using a combination of brown and beige colors on a brown background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/116. Parang Klitik Seling Parang Kusuma_1.JPG;The image shows a piece of batik cloth with a complex geometric pattern. The design features repetitive shapes and lines in various orientations, creating a visually striking and intricate pattern.;The motif consists of repeating zigzag lines and curves, forming a grid-like structure with occasional larger shapes that resemble stylized leaves or abstract forms.;Brown, beige, black;A detailed batik cloth with a geometric pattern featuring zigzag lines and abstract shapes in brown and beige tones.;"""Create a batik cloth with a complex geometric pattern using brown, beige, and black colors, featuring repeating zigzag lines and abstract shapes."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/116. Parang Klitik Seling Parang Kusuma_2.JPG;The image shows a piece of batik cloth with a repeating pattern consisting of wavy lines and dots in shades of brown and beige.;The shapes in the motif include wavy lines and dots arranged in a grid-like pattern.;Brown, beige;A batik cloth with a repetitive wavy line and dot pattern in earthy tones.;"""Create a batik cloth design featuring a repeating pattern of wavy lines and dots in shades of brown and beige."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/117. Parang Gendreh Seling Parangkusuma_1.JPG;The image shows a close-up view of batik cloth with a complex geometric pattern. The design features interlocking shapes and lines in various shades of brown and beige.;The motif consists of interlocking shapes, including loops, rectangles, and zigzag lines. These shapes are arranged in a repetitive pattern across the fabric.;Brown, beige, black;A detailed batik cloth with a complex geometric pattern featuring interlocking shapes and lines in shades of brown and beige.;"""Create a batik cloth with a intricate geometric pattern consisting of interlocking shapes like loops, rectangles, and zigzag lines, using a color palette of brown, beige, and black."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/117. Parang Gendreh Seling Parangkusuma_2.JPG;The image shows a piece of batik cloth with a repeating pattern consisting of abstract shapes and lines in shades of brown and beige.;The motif features irregularly shaped, wavy lines and dots arranged in a grid-like pattern.;Brown, beige;A close-up of a batik cloth with a repetitive, abstract pattern in earthy tones.;"""Create a detailed batik cloth design featuring irregular, wavy lines and dots arranged in a grid-like pattern, using a color palette of brown and beige."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/118. Parang Srimpi_1.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features vertical lines and geometric shapes, including circles and squares, arranged in a repetitive manner.;The shape and objects in the motif include vertical lines, circles, and squares.;The colors used in the image are brown and white.;The motif on the image is a detailed batik pattern with vertical lines and geometric shapes.;"""Create a batik cloth design featuring vertical lines, circles, and squares in a repetitive pattern using brown and white colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/118. Parang Srimpi_2.JPG;The image depicts a piece of batik cloth with a detailed geometric pattern. The design features repetitive shapes, including circles and squares, arranged in a symmetrical manner.;The shapes in the motif include circles and squares.;The colors used in the image are brown and white.;The motif on the image is a symmetrical geometric pattern with repeating circles and squares in brown and white.;"""Create a piece of batik cloth with a symmetrical geometric pattern featuring repeating circles and squares in brown and white."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/119. Parang Klitik_1.JPG;The image shows a piece of batik cloth with a repeating pattern consisting of elongated shapes in white against a background of brown and red geometric patterns.;The shapes in the motif are elongated, resembling abstract forms or possibly stylized leaves or petals.;Brown, red, white;A batik cloth with a repeating pattern of elongated white shapes on a brown and red geometric background.;"""Create a batik cloth design featuring elongated white shapes on a brown and red geometric background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/119. Parang Klitik_2.JPG;The image shows a piece of batik cloth with a complex pattern consisting of repeating shapes and motifs.;The main shapes in the motif include elongated, wavy lines and dots arranged in a grid-like pattern.;The colors used in the image are brown, white, and red.;The motif features a repetitive pattern of wavy lines and dots on a brown background.;"""Create a batik cloth design featuring elongated, wavy lines and dots arranged in a grid-like pattern on a brown background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/12. Parang Gendreh Seling Kerton Rinengga_1.JPG;The image shows a piece of batik cloth with intricate patterns and designs. The background features a mix of geometric shapes and floral motifs, with a prominent use of brown and beige colors.;The shape and objects in the motif include geometric shapes like squares, triangles, and circles, along with stylized floral elements and abstract patterns.;Brown, beige, black, white;A detailed batik cloth with geometric and floral patterns in shades of brown and beige.;"""Create a piece of batik cloth featuring intricate geometric and floral patterns in shades of brown and beige."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/12. Parang Gendreh Seling Kerton Rinengga_2.JPG;The image shows a piece of batik cloth with intricate patterns. The background features a mix of geometric shapes and floral motifs, predominantly in shades of brown and beige.;The shape and objects in the motif include diamond shapes, star-like patterns, and floral designs. The main elements are large, stylized hands and feet, which are repeated throughout the design.;Brown, beige, black, white;A detailed batik cloth featuring geometric and floral patterns with large hand and foot motifs.;"""Create a piece of batik cloth with a rich brown background, adorned with intricate geometric and floral patterns, including large hand and foot motifs in beige and black."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/120. Parang Klitik_1.JPG;The image depicts a piece of batik cloth with a complex and intricate pattern. The background is dark brown or black, and the design features elongated, abstract shapes in a lighter color, possibly white or cream. These shapes are arranged in a grid-like pattern, creating a sense of order amidst the complexity.;The shapes in the motif are elongated, abstract forms that resemble stylized leaves, branches, or even abstract human figures. They are arranged in a repetitive, grid-like pattern across the fabric.;The colors used in the image are primarily dark brown or black for the background, and a lighter color for the abstract shapes, which could be white or cream.;The motif on the image is a complex, abstract pattern featuring elongated, leaf-like shapes arranged in a grid-like structure against a dark background.;"""Create a piece of batik cloth with a dark brown or black background and a repeating pattern of elongated, abstract shapes in a lighter color, resembling stylized leaves or branches, arranged in a grid-like structure."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/120. Parang Klitik_2.JPG;The image shows a piece of batik cloth with a complex pattern featuring elongated shapes and geometric elements.;The motif consists of elongated, vertical shapes resembling stylized leaves or branches, interspersed with small, square patterns and circular dots.;Brown, white, and black;A detailed batik cloth design with elongated leaf-like shapes and geometric patterns in brown, white, and black.;"""Create a batik cloth design featuring elongated, vertical shapes resembling stylized leaves or branches, interspersed with small, square patterns and circular dots, using a color palette of brown, white, and black."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/121. Parang Srimpi_1.JPG;The image shows a piece of batik cloth with a detailed pattern. The design features vertical lines and circular motifs, creating a textured and intricate appearance.;The shapes in the motif include vertical lines and circular patterns. The vertical lines are evenly spaced and run parallel to each other, while the circles are connected by small dots forming a network-like structure.;The colors used in the image are white, brown, blue, and black.;The motif on the image is a detailed batik pattern with vertical lines and circular designs, creating a textured and intricate appearance.;"""Create a piece of batik cloth with vertical lines and circular motifs, using a combination of white, brown, blue, and black colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/121. Parang Srimpi_2.JPG;The image shows a close-up view of batik cloth with a traditional pattern. The design features vertical lines and circular motifs, creating a complex and intricate pattern.;The shapes in the motif include vertical lines and circular patterns. The vertical lines are evenly spaced and run parallel to each other, while the circles are connected by the lines, forming a network-like structure.;The colors used in the image are white, brown, blue, and black.;The motif on the image is a traditional batik pattern with vertical lines and circular designs, creating a complex and intricate design.;"""Create a detailed batik fabric with vertical lines and circular motifs, using a combination of white, brown, blue, and black colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/122. Parang Klitik Kesit_1.JPG;The image shows a piece of batik cloth with a complex pattern featuring abstract shapes and geometric designs. The background is a light beige color, and the patterns are outlined in dark brown.;The shapes in the motif include elongated ovals, rectangles, and various geometric forms. There are also small square and circular elements interspersed throughout the design.;The colors used in the image are light beige, dark brown, and black.;The motif on the image is a detailed batik pattern with abstract shapes and geometric forms in a light beige background with dark brown outlines.;"""Create a batik fabric with intricate geometric patterns featuring elongated ovals, rectangles, and small squares, set against a light beige background with dark brown outlines."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/122. Parang Klitik Kesit_2.JPG;The image shows a piece of batik cloth with intricate patterns. The patterns consist of various shapes and objects, including circles, squares, and abstract forms, arranged in a repetitive manner.;The shapes and objects in the motif include circles, squares, and abstract forms.;The colors used in the image are brown and white.;The motif on the image features a repeating pattern of geometric shapes and abstract forms in brown and white.;"""Create a piece of batik cloth with intricate patterns consisting of circles, squares, and abstract forms, arranged in a repetitive manner, using brown and white colors."""
