image_path;A5
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/14 Sekar Tebu A.jpg;"Create an image of a batik fabric with the motif 'Sekar Tebu'. The motif features a symmetrical geometric pattern with light beige shapes on a dark blue background. The shapes include squares, rectangles, and circles, arranged in a balanced and harmonious design. Small circular dots with a dotted outline in the center add a touch of complexity to the overall pattern. The motif is inspired by sugarcane flowers in Javanese culture, which are called gleges. Gleges in Javanese means prolonged laughter, either because it is fun or because it is funny. The meaning of this motif is advice for someone not to judge or to do things excessively. Thus, you should be careful and full of calculations so as not to fall into unwanted conditions."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/14 Sekar Tebu B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Tebu'. The motif is inspired by sugarcane flowers, which are called 'gleges' in Javanese culture. Gleges symbolize prolonged laughter, often associated with joy or humor. The motif advises caution and careful consideration, suggesting that one should be mindful of their actions to avoid unintended consequences. The design includes light beige geometric shapes arranged in a symmetrical pattern against a dark blue background, with small circular patterns with dots in the center adding depth and detail. The overall aesthetic is elegant and culturally rich, reflecting the traditional art form of batik."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/15 Sekar Manggis A.jpg;"Create an image of a batik cloth featuring a traditional motif inspired by the mangosteen flower. The motif should be centered around a stylized representation of the mangosteen flower, which includes two orange leaves and a white square in the center. The background should be dark blue, and the pattern should consist of white dots forming a diamond shape around the central motif. Incorporate cultural elements such as the meaning of the mangosteen as the queen of fruits and its taste, which is refreshing and balanced between sweet and sour flavors. The motif should also represent a hope that the wearer will become the best human being physically and mentally for the community. Ensure the image captures the essence of the batik art form, including the use of traditional patterns and colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/15 Sekar Manggis B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Manggis'. The motif is inspired by the shape of the mangosteen (Garcinia mangostana) flower, symbolizing the fruit's refreshing and balanced taste. The design includes interconnected geometric shapes and dots, forming a lattice-like pattern. The motif represents a hope that the wearer will become the best human being physically and mentally for the community. The colors used are dark blue for the background and light beige for the geometric shapes and dots. The overall design is intricate and visually striking."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/16 Sekar Randhu A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Randu'. The motif should depict a central star-like design with radiating lines, surrounded by smaller floral elements and light beige or cream-colored lines. The background should be dark blue, and there should be small white dots scattered throughout the design. Incorporate the cultural description of Sekar Randu, which includes the plant Ceiba pentandra, its fibers kapuk, and its use as a filling material for mattresses. Additionally, highlight the meaning of the motif, which emphasizes giving enjoyment to others and maintaining a good name to uphold honor."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/16 Sekar Randhu B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Randu'. The motif should depict a central star-like design with radiating lines, surrounded by smaller floral elements and light beige or cream-colored lines. The background should be dark blue, and there should be small white dots scattered throughout the design. Incorporate the cultural description of Sekar Randu, which includes the plant Ceiba pentandra (randu) and its properties as well as the symbolic meaning of the motif. Ensure the image captures the essence of the motif's beauty and cultural significance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/17 Worawari Rumpuk A.jpg;"Create an image of a batik cloth featuring a detailed pattern of a stacked (double/multiple) hibiscus flower, known as 'Wora-wari rumpuk' in Indonesian. The background should be dark blue, and the hibiscus flowers should be depicted in light beige or cream color with small orange centers. Surrounding the flowers are small circular patterns, possibly representing seeds or additional floral elements. The image should capture the intricate details of the stacked hibiscus flowers and the contrasting colors against the dark blue background. Incorporate cultural batik descriptions, such as the symbolism of the red and white colors of the hibiscus flowers, which represent love, passion, and spirit respectively. Ensure the image is visually appealing and captures the essence of the batik motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/17 Worawari Rumpuk B.jpg;"Create an image of a batik cloth featuring a detailed pattern of a stacked (double/multiple) hibiscus flower, known as 'Wora-wari rumpuk' in Indonesian. The background should be dark blue, and the hibiscus flowers should be depicted in light beige or cream color with orange centers. Surrounding the flowers are small circular patterns, possibly representing seeds or additional floral elements. The motif should convey a sense of symmetry and layered beauty, reminiscent of traditional Indonesian batik designs. Incorporate cultural descriptions of the hibiscus flower, including its symbolism in Javanese society, such as the red color symbolizing love, passion, and spirit, and the various colors like white, yellow, pink, and purple. Ensure the image captures the intricate details and cultural significance of the batik motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/18 Sekar Dhuku A.jpg;"Create an image of a batik cloth named 'Sekar Duku'. The motif should feature a large, stylized duku flower or plant at the center, surrounded by smaller geometric shapes and dots. The background should be dark blue, and the motifs should be in light beige and brown. Incorporate the cultural description that the duku flower shape was inspired by the many duku trees planted in the area where people lived, and the duku flower is seen from above. Ensure the image captures the essence of the batik's intricate design and cultural significance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/18 Sekar Dhuku B.jpg;"The batik motif featured in this image is called ""Sekar Duku."" It is inspired by the shape of the duku flower, which was commonly planted in the area where people lived. The duku flower is seen from above, and its shape is used as an idea to create a batik motif. The motif consists of a network-like pattern formed by interconnected dots, with some dots connected by lines creating a web-like appearance. Surrounding the central pattern are decorative elements, including floral designs and geometric shapes in lighter beige tones. This batik design not only showcases the beauty of nature but also reflects the cultural significance of the duku flower in the region."
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/19 Sekar Jagung A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Jagung'. The motif consists of a central diamond shape surrounded by intersecting lines and dots, creating a symmetrical and geometric design. The background is dark blue, and the pattern includes small white and orange elements, such as stars and circular shapes. Incorporate the cultural description of the batik, which states that in Javanese culture, corn flowers are called sinuwun and symbolize respect for older individuals. The motif is a message that humans must respect their fellow human beings, especially those who are older."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/19 Sekar Jagung B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Jagung'. The motif consists of a central diamond shape surrounded by intricate lines and dots, with white and orange shapes including crosses and circles. The background is dark blue, and the design elements create a sense of depth and complexity. Incorporate the cultural description that corn (Zea mays) flowers are called sinuwun in Javanese culture, symbolizing respect and reverence for older individuals."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/2 Sekar Liring A.jpg;"Create an image of a traditional batik cloth featuring the Ceplok Liring motif. The design should consist of star-like shapes with multiple points, surrounded by smaller, symmetrical patterns, arranged in a grid-like formation. The background should be dark, possibly navy blue, while the shapes and lines are in a lighter color, likely beige or light brown. Incorporate the cultural description of Ceplok Liring, which refers to the placement of motifs irregularly on a field and conveys a normative meaning for humans, emphasizing the importance of being mindful of small details and respecting others' perspectives. Ensure the image captures the intricate details and the cultural significance of the motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/2 Sekar Liring B.jpg;"Create an image of a traditional batik cloth featuring the Ceplok Liring motif. The design should consist of star-like shapes arranged in a grid-like formation, with each shape surrounded by smaller, symmetrical patterns. The background should be dark, possibly navy blue, while the shapes and lines are in a lighter color, likely beige or light brown. Incorporate the cultural description of Ceplok Liring, which refers to the placement of motifs irregularly on a field and conveys a normative meaning for humans, explaining not to take everything for granted, both in terms of a person's behavior, thoughts, and opinions. Because there is a possibility that things that are considered trivial have a big impact. Therefore, a caring attitude and respect for others must be set forth."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/20 Jayakirana A.jpg;"Create an image of a batik cloth featuring the motif of Jaya Kirana (Wijanarka). The motif should consist of geometric shapes and lines arranged in a symmetrical pattern, with a dark blue background and light beige or cream patterns. The image should convey the cultural significance of Jaya Kirana, highlighting his heroic spirit, selflessness, and willingness to sacrifice for the homeland and nation. Incorporate the cultural description provided, emphasizing the importance of learning from Jaya Kirana's attitude."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/20 Jayakirana B.jpg;"Create an image of a batik cloth featuring the Jaya Kirana (Wijanarka) motif. The background should be dark blue, and the patterns should be light beige or cream-colored. The motif should consist of geometric shapes like circles, squares, and rectangles arranged in a symmetrical pattern, with linear elements creating depth and complexity. The image should convey the cultural significance of Jaya Kirana, emphasizing his heroic spirit, selflessness, and willingness to sacrifice for the homeland and nation. Incorporate cultural batik descriptions to provide context and meaning to the design."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/21 Mawur A.jpg;"Create an image of a batik cloth featuring the motif 'Mawur'. The motif consists of three orange leaves with white dotted edges, surrounded by small white dots arranged in a circular pattern. The background is dark blue, and the overall design has a scattered appearance, as indicated by the term 'mawur' in Javanese culture. The image should capture the intricate details and cultural significance of the batik motif, emphasizing its scattered nature and the contrast between the dark blue background and the vibrant orange leaves."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/21 Mawur B.jpg;"Create an image of a batik cloth featuring the motif 'Mawur'. The motif should consist of a key-like shape with a detailed, ornate design at its center, surrounded by various geometric shapes and floral elements. The key should be rendered in light beige against a dark blue background, with orange floral elements adding contrast. The overall design should evoke a sense of scattered yet intricate patterns, as described by the Javanese term 'mawur'."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/22 Sekar Tanjung A.jpg;"Create an image of a traditional Javanese batik cloth featuring the motif 'Sekar Tanjung.' The motif should consist of a central circular design with a star-like pattern, surrounded by interconnected geometric shapes including elongated rectangles and diamond shapes. The background should be dark blue, and the design elements should be light beige or cream-colored. Incorporate the cultural description of the motif, which includes the use of the word 'tanjung' in Javanese, representing a shade plant with fragrant flowers and a beautiful shape. The design aims to symbolize the hope for good deeds that benefit family and society.""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/22 Sekar Tanjung B.jpg;"Create an image of a batik cloth named 'Sekar Tanjung'. The batik features a dark blue background with light beige or cream-colored geometric and floral patterns. The design includes symmetrical arrangements of dots, lines, and abstract forms, creating a visually appealing and harmonious pattern. The motif represents the hope for good deeds and the pride of family and society, inspired by the Javanese shade plant Tanjung (Mimusops elengi). The batik should be detailed and comprehensive, incorporating cultural batik descriptions and motifs."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/23 Sekar Keben A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Keben'. The motif should include a central diamond shape surrounded by floral patterns, with elongated, teardrop-like shapes on either side connected by curved lines. The background should be dark blue, and the floral patterns should be light beige. Incorporate cultural descriptions of the keben tree and its significance in Yogyakarta, including the regol keben gate and the symbolism of the keben flowers. Ensure the image captures the essence of peace, beauty, and harmony represented by the motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/23 Sekar Keben B.jpg;The sekar keben batik motif is a traditional Indonesian batik design that represents the Yogyakarta Palace's regal gate, known as regol keben. The motif features a central diamond shape surrounded by smaller diamond shapes and floral motifs, symbolizing peace and beauty. The dark blue background and light beige shapes create a striking contrast, while the gold outlines add a touch of elegance. The sekar keben batik motif is a representation of the Yogyakarta Palace's cultural heritage and the importance of harmony and balance in their traditions.
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/24 Sekar Srengenge A.jpg;"Create an image of a batik fabric featuring the motif 'Sekar Srengenge,' which translates to 'sunflower' in Javanese. The motif consists of small, light-colored dots arranged in various shapes and patterns, resembling sunflowers or other floral designs. The background is dark blue or black, and the dots are light beige or cream. The motif symbolizes consistency in facing life's challenges head-on, as indicated by the cultural description provided. Incorporate the cultural significance of the motif, including its representation of sunflowers and the Javanese cultural values of resilience and determination."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/24 Sekar Srengenge B.jpg;"Create an image of a batik fabric featuring the motif 'Sekar Srengenge,' which translates to 'sunflower' in Javanese. The sunflowers are depicted in light beige or tan colors against a dark blue background. The motif symbolizes consistency and resilience in facing life's challenges, with each sunflower represented by a cluster of small dots forming the petals and a central dot for the flower's core. Incorporate the cultural significance of sunflowers as a symbol of facing life's difficulties head-on."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/25 Sekar Soka A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Soka'. The motif should depict a blend of natural and abstract elements, symbolizing various emotions and experiences in life. The background should be dark, possibly navy blue, with lighter beige or cream-colored elements forming the main design. The pattern should include various shapes such as circles, dots, and abstract forms, creating a complex and visually striking design. Incorporate cultural batik descriptions, such as the symbolism of the plant Ixora coccinea (Soka or Asoka) and its association with the garden Arga Soka Park, where Dewi Shinta was hidden by Rahwana. The motif should represent the cyclical nature of life, where different emotions and experiences are experienced, leading to a deeper understanding and eventual return to a state of peace and enlightenment."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/25 Sekar Soka B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Soka'. The motif should depict various geometric shapes such as circles, lines, and abstract forms arranged in a symmetrical pattern. The background should be dark blue, and the colors used in the design should include shades of beige, white, and brown. Incorporate the cultural description of the motif, which represents the concept of experiencing various emotions in life, from sorrow and happiness to sadness and joyfulness. It symbolizes the idea that these emotions must be endured patiently until they lead to a state of eternal reality, as experienced by Dewi Shinta."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/26 Sekar Nangka A.jpg;"Create an image of a traditional Indonesian batik cloth featuring the motif 'sekar nangka' or jackfruit flower. The motif should be prominently displayed in the center of the cloth, with a dark blue background and light beige and darker beige accents. The central star-like shape should be surrounded by intricate geometric patterns and lines, including small square shapes and cross-like symbols. Incorporate cultural descriptions of the motif, such as its meaning of hopefulness and caution in judging others, and its association with the jackfruit plant. Ensure the image captures the essence of traditional batik artistry, with detailed patterns and vibrant colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/26 Sekar Nangka B.jpg;"Create an image of a traditional Indonesian batik fabric featuring the motif known as 'Sekar Nangka' or 'Jackfruit Flower.' The design should include intricate geometric shapes and floral elements resembling jackfruit flowers. The background should be dark blue, while the patterns and floral elements should be light beige with orange-brown accents. Incorporate the cultural significance of the motif, which symbolizes hope and caution in judgment, highlighting the contrast between the thorny exterior and the sweet interior of the jackfruit. Ensure the image captures the essence of the batik art form and its cultural heritage."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/27 Kawung Nitik A.jpg;"Create an image of a traditional Indonesian batik fabric featuring the Kawung motif. The Kawung motif consists of four overlapping circles, each containing small white floral patterns. The circles are outlined in a golden brown color, creating a striking contrast against the dark background. The motif is symmetrical and balanced, with intricate details that highlight the craftsmanship involved in batik making. Incorporate cultural batik descriptions, such as the interpretation of the Kawung motif as a symbol of controlling carnal desires to unite with one's God, and the idea of it being a flower in full bloom representing a good hope for an evolving future."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/27 Kawung Nitik B.jpg;"Create an image of a traditional Indonesian batik fabric featuring the Kawung motif. The Kawung motif consists of four overlapping circles, each containing small white floral patterns. The circles are outlined in a golden brown color, creating a striking contrast against the dark blue background. The motif is symmetrical and balanced, with intricate details that highlight the craftsmanship involved in batik making. Incorporate cultural descriptions of the Kawung motif, such as its interpretation as a symbol of controlling carnal desires to unite with one's God, and its association with the Javanese people's concept of Keblat Papat Limo Pancer. Ensure the image captures the elegance and symmetry of the motif, emphasizing the traditional artistry of batik."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/28 Sekar Kenthang A.jpg;"The batik motif is named ""Sekar Kentang,"" which translates to ""Potato Flower"" in English. The name is inspired by the shape of the potato flowers, which resemble the intricate patterns found in the motif. The central star-like shape with a cross-like design symbolizes the hope that the wearer will always provide benefits (migunani) for others, reflecting the cultural significance of the motif. The use of dark blue, beige, and gold colors adds depth and richness to the design, enhancing its visual appeal and cultural importance."
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/28 Sekar Kenthang B.jpg;"The batik motif in the image is named ""Sekar Kentang,"" which translates to ""Potato Flower"" in English. The name is inspired by the shape of the potato flowers, which resemble the intricate patterns found in the motif. The central star-like shape with a cross-like design symbolizes the hope that the wearer will always provide benefits (migunani) for others. The surrounding floral patterns represent the beauty and abundance associated with the potato plant, emphasizing the wearer's desire for prosperity and well-being. The use of dark blue, beige, and gold colors adds depth and richness to the design, enhancing its visual appeal and cultural significance."
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/29 Sekar Pudhak A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Pudhak,' which is a thorny pandan plant with fragrant white flowers. The motif symbolizes a hope that the wearer can maintain honor and respect their social status in society. The image should have a dark blue background with light beige or cream-colored floral patterns arranged in a symmetrical and repetitive manner. Incorporate cultural batik descriptions to enhance the visual representation."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/29 Sekar Pudhak B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Pudhak,' which is a thorny pandan plant with fragrant white flowers. The central motif should be a cross or star-like shape surrounded by intricate floral patterns. The background should be dark blue, and the patterns should be light beige. Incorporate the cultural description that the motif symbolizes hope and honor, maintaining social status and respect in society. Ensure the image captures the detailed and elegant nature of the batik design."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/3 Sekar Duren A.jpg;"Create an image of a batik cloth named 'Sekar Duren'. The motif should feature a star-like central figure surrounded by interconnected lines and dots, arranged in a symmetrical manner. The background should be dark blue, and the design elements should be light beige or cream-colored. Incorporate the cultural description of the batik, where the durian flower (Durio) is called dlongop in Javanese, meaning a human attitude that shows not being in an atmosphere of critical thinking. This attitude is not commendable for a creative community because it does not support the emergence of ideas and innovations."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/3 Sekar Duren B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Duren'. The motif is characterized by a central star-like shape made up of interconnected dots, surrounded by various geometric shapes such as circles, squares, and lines. The background is dark blue, and the patterns are in light beige or cream. Incorporate the cultural description that the durian flower (Durio) is called dlongop in Javanese, meaning a human attitude that shows not being in an atmosphere of critical thinking. This warning against the dlongop attitude is important for a creative community as it does not support the emergence of ideas and innovations."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/30 Sekar Dlima A.jpg;"Create an image of a batik cloth named 'Sekar Dlima'. The motif is inspired by the shape of the pomegranate flower (Punica granatum). The design features a central floral pattern with pomegranate flowers and leaves, surrounded by geometric patterns and intricate designs. The background is dark blue, and the colors used are dark blue, beige, and gold. The motif is ornate and detailed, typical of traditional batik art."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/30 Sekar Dlima B.jpg;"Create an image of a batik cloth named 'Sekar Dlima'. The motif is inspired by the shape of the pomegranate flower (Punica granatum), which has been transformed into a decorative pattern. The design includes symmetrical floral motifs, such as pomegranate flowers, crescent moons, and geometric shapes. The colors used are dark blue, beige, and orange. The overall aesthetic is harmonious and visually appealing, reflecting traditional batik artistry."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/31 Krawitan  A.jpg;"Create an image of a batik cloth featuring the Karawitan motif. The motif should be a stylized flower with six petals, each petal shaped like a leaf, set against a dark blue background. Surrounding the flower are small white dots, creating a decorative border. Incorporate the cultural description of the Karawitan motif, which is a Javanese music orchestra involving various instruments and emphasizing the importance of cooperation and community in society. The image should convey a sense of harmony and unity."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/31 Krawitan  B.jpg;"Create an image of a batik cloth featuring the motif 'Karawitan.' The motif should consist of interconnected circles and dots, with the circles outlined in orange and filled with a lighter shade, set against a dark blue background. The dots are scattered throughout the design, adding texture and depth. Incorporate the cultural description of the Karawitan motif, which is inspired by the Karawitan flower and represents the importance of cooperation and unity within society. The motif should convey the message that everyone must work together to produce something valuable for society."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/32 Cinde Wilis A.jpg;"Create an image of a batik fabric featuring the motif 'Cinde Wilis'. The motif should consist of repeating patterns of teardrop shapes, crosses, and diamond shapes, all outlined in white against a dark blue background. Incorporate cultural elements such as fertility and greenness, inspired by traditional Javanese batik designs. Ensure the image captures the essence of the motif's significance in Javanese culture, emphasizing the importance of nature and growth."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/32 Cinde Wilis B.jpg;"Create an image of a batik fabric featuring the motif 'Cinde Wilis'. The motif should consist of repeating patterns of teardrop shapes, crosses, and diamond shapes, all outlined in white against a dark blue background. Incorporate cultural descriptions of the motif, emphasizing its association with fertility, greenness, and the importance of nature in Javanese culture. Ensure the image captures the intricate details and geometric symmetry typical of batik art."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/33 Sekar Mlathi A.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Mlati'. The motif should be a jasmine flower with multiple petals and a central stem, outlined in light beige or cream color against a dark blue background. Small white dots representing the stamens and pistils should be included around the flower. The motif should convey a sense of purity and fragility, symbolizing the wearer's hope for creating a pleasant and healthy atmosphere for many people. Incorporate cultural batik descriptions to enhance the visual appeal and cultural significance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/33 Sekar Mlathi B.jpg;"Create an image of a batik cloth featuring a stylized jasmine flower motif. The background should be dark blue, and the motif should consist of light beige geometric shapes and dots. The central part of the motif should form a circular pattern, resembling a stylized jasmine flower. Incorporate the cultural significance of the batik motif, which represents purity and fragility, and the idea behind the design, inspired by the jasmine flower's beauty and scent. Ensure the image captures the delicate and intricate nature of the batik design."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/34 Kuncup Kanthil A.jpg;"Create an image of a traditional Javanese batik cloth named 'Kuncup Kanthil'. The motif features a central square with a diamond pattern surrounded by various geometric shapes and floral motifs. The background is dark blue, and the geometric shapes and floral motifs are light beige. The design symbolizes a hope for continued memory and emulation of good things. Incorporate the cultural significance of the motif, where Kanthil (Magnolia alba) is a fragrant flower symbolizing staying kemanthil, meaning being continued to be remembered."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/34 Kuncup Kanthil B.jpg;"Create an image of a batik cloth featuring the motif 'Kuncup Kanthil'. The motif should depict a stylized tree or plant with a square base, surrounded by delicate flowers and leaves. The background should be dark blue, and the central square structure should be gold. Incorporate the cultural significance of the motif, where Kanthil (Magnolia alba) is a fragrant flower symbolizing being remembered and continued to be remembered in Javanese society. The design should be intricate and symmetrical, with a harmonious blend of dark blue, light beige, and gold colors."""
